[2022-02-28 14:31:54,434] [views.py:80] [views:get_context] [ERROR]- 身份错误
[2022-03-06 07:46:22,465] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat_Admin_Web
[2022-03-06 07:46:23,994] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-06 07:46:23,994] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-06 07:46:23,994] [views.py:93] [views:get_context] [INFO]- HEAD is now at bc95dd3 修改模板地址

[2022-03-06 07:46:23,994] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-06 08:34:50,018] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/ChileCat_Admin_Web
[2022-03-06 08:34:51,488] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-06 08:34:51,489] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-06 08:34:51,489] [views.py:93] [views:get_context] [INFO]- HEAD is now at 735a08b 2022.03.03

[2022-03-06 08:34:51,489] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-06 08:36:44,898] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/ChileCat
[2022-03-06 08:36:46,544] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-06 08:36:46,545] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-06 08:36:46,545] [views.py:93] [views:get_context] [INFO]- HEAD is now at e7e625a Merge branch 'Develop'

[2022-03-06 08:36:46,545] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-06 08:36:46,545] [views.py:93] [views:get_context] [INFO]- ● ChileCat.service - ChileCat

[2022-03-06 08:36:46,545] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCat.service; enabled; vendor preset: disabled)

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Sun 2022-03-06 08:36:46 CST; 17ms ago

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-  Main PID: 16351 (gunicorn)

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-     Tasks: 1

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-    Memory: 2.5M

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCat.service

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]-            └─16351 /project/ChileCat/env/bin/python3 /project/ChileCat/env/bin/gunicorn ChileCat.asgi:application -w 2 -k uvicorn.workers.UvicornWorker --log-file -

[2022-03-06 08:36:46,546] [views.py:93] [views:get_context] [INFO]- 

[2022-03-06 08:36:46,547] [views.py:93] [views:get_context] [INFO]- Mar 06 08:36:46 VM-16-12-centos systemd[1]: Started ChileCat.

[2022-03-06 14:53:21,356] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat
[2022-03-06 14:53:24,876] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-06 14:53:24,876] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]- HEAD is now at 1980cab 修改redis密码

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]- ● ChileCatTest.service - ChileCatTest

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCatTest.service; disabled; vendor preset: disabled)

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Sun 2022-03-06 14:53:24 CST; 7ms ago

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]-  Main PID: 27524 (gunicorn)

[2022-03-06 14:53:24,877] [views.py:93] [views:get_context] [INFO]-     Tasks: 1

[2022-03-06 14:53:24,878] [views.py:93] [views:get_context] [INFO]-    Memory: 1.1M

[2022-03-06 14:53:24,878] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCatTest.service

[2022-03-06 14:53:24,878] [views.py:93] [views:get_context] [INFO]-            └─27524 /project/ChileCatTest/env/bin/python3 /project/ChileCatTest/env/bin/gunicorn ChileCat.asgidev:application -b 0.0.0.0:9000 -w 1 -k uvicorn.workers.UvicornWorker --reload --log-file -

[2022-03-06 14:53:24,878] [views.py:93] [views:get_context] [INFO]- 

[2022-03-06 14:53:24,878] [views.py:93] [views:get_context] [INFO]- Mar 06 14:53:24 VM-16-12-centos systemd[1]: Started ChileCatTest.

[2022-03-06 14:53:37,686] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/ChileCat
[2022-03-06 14:53:39,192] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]- HEAD is now at 1b40b77 Merge branch 'Develop'

[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]- ● ChileCat.service - ChileCat

[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCat.service; enabled; vendor preset: disabled)

[2022-03-06 14:53:39,193] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Sun 2022-03-06 14:53:39 CST; 12ms ago

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]-  Main PID: 27630 (gunicorn)

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]-     Tasks: 1

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]-    Memory: 2.2M

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCat.service

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]-            └─27630 /project/ChileCat/env/bin/python3 /project/ChileCat/env/bin/gunicorn ChileCat.asgi:application -w 2 -k uvicorn.workers.UvicornWorker --log-file -

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]- 

[2022-03-06 14:53:39,194] [views.py:93] [views:get_context] [INFO]- Mar 06 14:53:39 VM-16-12-centos systemd[1]: Started ChileCat.

